Threshold,Val Recall,Val Precision,Val F1,Val Flagged
0.35,0.903,0.126,0.222,12924
0.4,0.821,0.135,0.232,10974
0.45,0.715,0.147,0.245,8783
0.5,0.565,0.167,0.258,6113
0.55,0.39,0.194,0.259,3643
0.6,0.269,0.224,0.244,2178
